hsa-let-7f	ENSP00000343745	1
hsa-miR-16	ENSP00000362300	1
hsa-miR-29b	ENSP00000329623	1
hsa-miR-16	ENSP00000302276	1
hsa-miR-17	ENSP00000168712	1
hsa-miR-205	ENSP00000302994	1
hsa-miR-16	ENSP00000329623	1
hsa-miR-143	ENSP00000361725	1
hsa-miR-125b	ENSP00000275493	1
hsa-miR-206	ENSP00000206249	1
hsa-miR-7	ENSP00000319204	1
hsa-let-7f	ENSP00000339845	1
hsa-miR-7	ENSP00000259633	1
hsa-miR-17	ENSP00000367207	1
hsa-miR-99a	ENSP00000373728	1
hsa-miR-20a	ENSP00000345571	1
hsa-miR-200b	ENSP00000362659	1
hsa-miR-137	ENSP00000310036	1
hsa-miR-200b	ENSP00000361423	1
hsa-miR-222	ENSP00000343745	1
hsa-miR-222	ENSP00000330320	1
hsa-miR-9	ENSP00000262095	1
hsa-miR-145	ENSP00000303830	1
hsa-miR-200c	ENSP00000316779	1
hsa-miR-222	ENSP00000306512	1
hsa-miR-136	ENSP00000340292	1
